Hostname,Version,N,BlockSizeX,BlockSizeY,Time,AvgConcU,AvgConcV
wn201.arnes.si,parallel,256,8,8,0.063142,0.863141,0.067432
wn201.arnes.si,parallel,512,8,8,0.092176,0.936877,0.031105
wn201.arnes.si,parallel,1024,8,8,0.206093,0.974675,0.012490
wn201.arnes.si,parallel,2048,8,8,0.558686,0.989142,0.005356
wn201.arnes.si,parallel,4096,8,8,1.939889,0.995022,0.002456
wn201.arnes.si,parallel,256,16,16,0.058747,0.863141,0.067432
wn201.arnes.si,parallel,512,16,16,0.073481,0.936877,0.031105
wn201.arnes.si,parallel,1024,16,16,0.167398,0.974675,0.012490
wn201.arnes.si,parallel,2048,16,16,0.503355,0.989142,0.005356
wn201.arnes.si,parallel,4096,16,16,1.811207,0.995022,0.002456
wn201.arnes.si,parallel,256,24,24,0.053839,0.863141,0.067432
wn201.arnes.si,parallel,512,24,24,0.068426,0.936877,0.031105
wn201.arnes.si,parallel,1024,24,24,0.162840,0.974675,0.012490
wn201.arnes.si,parallel,2048,24,24,0.518944,0.989142,0.005356
wn201.arnes.si,parallel,4096,24,24,1.795148,0.995022,0.002456
wn201.arnes.si,parallel,256,32,32,0.058717,0.863141,0.067432
wn201.arnes.si,parallel,512,32,32,0.078777,0.936877,0.031105
wn201.arnes.si,parallel,1024,32,32,0.179461,0.974675,0.012490
wn201.arnes.si,parallel,2048,32,32,0.528766,0.989142,0.005356
wn201.arnes.si,parallel,4096,32,32,1.913134,0.995022,0.002456
