Hostname,Version,N,BlockSizeX,BlockSizeY,Time,AvgConcU,AvgConcV
wn201.arnes.si,shared_memory,256,8,8,0.065224,0.863141,0.067432
wn201.arnes.si,shared_memory,512,8,8,0.093156,0.936877,0.031105
wn201.arnes.si,shared_memory,1024,8,8,0.221713,0.974675,0.012490
wn201.arnes.si,shared_memory,2048,8,8,0.606796,0.989142,0.005356
wn201.arnes.si,shared_memory,4096,8,8,2.156491,0.995022,0.002456
wn201.arnes.si,shared_memory,256,16,16,0.056738,0.863141,0.067432
wn201.arnes.si,shared_memory,512,16,16,0.073380,0.936877,0.031105
wn201.arnes.si,shared_memory,1024,16,16,0.185832,0.974675,0.012490
wn201.arnes.si,shared_memory,2048,16,16,0.605514,0.989142,0.005356
wn201.arnes.si,shared_memory,4096,16,16,2.205820,0.995022,0.002456
wn201.arnes.si,shared_memory,256,24,24,0.063445,0.750177,0.121239
wn201.arnes.si,shared_memory,512,24,24,0.086772,0.879650,0.060513
wn201.arnes.si,shared_memory,1024,24,24,0.212541,0.960673,0.019783
wn201.arnes.si,shared_memory,2048,24,24,0.649332,0.984798,0.007746
wn201.arnes.si,shared_memory,4096,24,24,2.254510,0.991730,0.004194
wn201.arnes.si,shared_memory,256,32,32,0.056401,0.863141,0.067432
wn201.arnes.si,shared_memory,512,32,32,0.076761,0.936877,0.031105
wn201.arnes.si,shared_memory,1024,32,32,0.191435,0.974675,0.012490
wn201.arnes.si,shared_memory,2048,32,32,0.597110,0.989142,0.005356
wn201.arnes.si,shared_memory,4096,32,32,2.251948,0.995022,0.002456
