Host,Version,GridSize,Cores,MeanV,TimeSec
wn103.arnes.si,MPI,256,1,0.067432,4.897293
wn103.arnes.si,MPI,512,1,0.031105,13.960471
wn103.arnes.si,MPI,1024,1,0.012490,60.061936
wn103.arnes.si,MPI,2048,1,0.005356,233.221772
wn103.arnes.si,MPI,4096,1,0.002456,913.423125
wn103.arnes.si,MPI,256,2,0.067432,3.813767
wn103.arnes.si,MPI,512,2,0.031105,14.601398
wn103.arnes.si,MPI,1024,2,0.012490,58.406703
wn103.arnes.si,MPI,2048,2,0.005356,229.507071
wn103.arnes.si,MPI,4096,2,0.002456,903.185534
wn103.arnes.si,MPI,256,4,0.072405,1.919523
wn103.arnes.si,MPI,512,4,0.033284,7.218534
wn103.arnes.si,MPI,1024,4,0.014916,28.842622
wn103.arnes.si,MPI,2048,4,0.006070,113.706653
wn103.arnes.si,MPI,4096,4,0.002621,444.415765
wn103.arnes.si,MPI,256,16,0.066049,1.055599
wn103.arnes.si,MPI,512,16,0.031922,2.260596
wn103.arnes.si,MPI,1024,16,0.013745,7.679819
wn103.arnes.si,MPI,2048,16,0.005725,29.483792
wn103.arnes.si,MPI,4096,16,0.002534,130.566971
wn103.arnes.si,MPI,256,32,0.066341,0.605768
wn103.arnes.si,MPI,512,32,0.032737,1.480654
wn103.arnes.si,MPI,1024,32,0.014680,4.330834
wn103.arnes.si,MPI,2048,32,0.006617,14.943533
wn103.arnes.si,MPI,4096,32,0.002798,57.214094
wn103.arnes.si,MPI,256,64,0.090399,0.922127
wn103.arnes.si,MPI,512,64,0.045125,1.498663
wn103.arnes.si,MPI,1024,64,0.016849,4.427621
wn103.arnes.si,MPI,2048,64,0.006644,14.514215
wn103.arnes.si,MPI,4096,64,0.002898,116.944746
