Host,Version,GridSize,Cores,MeanV,TimeSec
gwn03.arnes.si,MPI,256,1,0.067432,3.236083
gwn03.arnes.si,MPI,512,1,0.031105,8.752678
gwn03.arnes.si,MPI,1024,1,0.012490,30.210242
gwn03.arnes.si,MPI,2048,1,0.005356,111.643030
gwn03.arnes.si,MPI,4096,1,0.002456,429.633958
gwn03.arnes.si,MPI,256,2,0.067432,1.598724
gwn03.arnes.si,MPI,512,2,0.031105,4.314382
gwn03.arnes.si,MPI,1024,2,0.012490,15.321237
gwn03.arnes.si,MPI,2048,2,0.005356,56.713912
gwn03.arnes.si,MPI,4096,2,0.002456,221.255975
gwn03.arnes.si,MPI,256,4,0.067432,1.015044
gwn03.arnes.si,MPI,512,4,0.031105,2.542263
gwn03.arnes.si,MPI,1024,4,0.012490,9.747413
gwn03.arnes.si,MPI,2048,4,0.005356,31.002110
gwn03.arnes.si,MPI,4096,4,0.002456,110.464153
gwn03.arnes.si,MPI,256,16,0.067432,0.461349
gwn03.arnes.si,MPI,512,16,0.031105,1.043014
gwn03.arnes.si,MPI,1024,16,0.012490,3.324267
gwn03.arnes.si,MPI,2048,16,0.005356,9.137789
gwn03.arnes.si,MPI,4096,16,0.002456,32.920781
gwn03.arnes.si,MPI,256,32,0.067432,0.389792
gwn03.arnes.si,MPI,512,32,0.031105,0.746578
gwn03.arnes.si,MPI,1024,32,0.012490,1.737442
gwn03.arnes.si,MPI,2048,32,0.005356,4.609851
gwn03.arnes.si,MPI,4096,32,0.002456,15.042459
gwn03.arnes.si,MPI,256,64,0.067432,0.468840
gwn03.arnes.si,MPI,512,64,0.002456,14.235438
gwn03.arnes.si,MPI,1024,64,0.012490,1.538659
gwn03.arnes.si,MPI,2048,64,0.005356,4.589151
gwn03.arnes.si,MPI,4096,64,0.002456,14.560003
